Name,Publisher,Global_Sales
Baldur's Gate: Dark Alliance,"Destination Software,0
Baldur's Gate: Dark Alliance II,Interplay,0.68
Baldur's Gate: Dark Alliance II,Acclaim Entertainment,0.26
Ball Breakers,Take-Two Interactive,0.18
Balls of Fury,Zoo Digital Publishing,0.02
Band Hero,Activision,0.97
Band Hero,Activision,0.79
Band Hero,Activision,0.74
Band Hero,Activision,0.43
Bangai-O Spirits,D3Publisher,0.08
Banjo-Kazooie,Microsoft Game Studios,0.01
Banjo-Kazooie: Grunty's Revenge,THQ,0.33
Banjo-Pilot,THQ,0.1
Barbie Groovy Games,Universal Interactive,0.56
Barnyard,THQ,0.09
Barnyard,THQ,0.04
Baroque,Rising Star Games,0.13
Baroque,Rising Star Games,0.07
Baseball Advance,Sega,0.13
Bass Pro Shops: The Strike,XS Games,0.21
Bass Strike,THQ,0.28
Baten Kaitos: Eternal Wings and the Lost Ocean,Nintendo,0.27
Baten Kaitos Origins,Unknown,0.1
Batman: Arkham Asylum,Eidos Interactive,4.23
Batman: Arkham Asylum,Eidos Interactive,3.48
Batman: Arkham Asylum,Eidos Interactive,0.32
Batman: Arkham City,Warner Bros. Interactive Entertainment,5.48
Batman: Arkham City,Warner Bros. Interactive Entertainment,4.73
Batman: Arkham City,Warner Bros. Interactive Entertainment,0.53
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,3.95
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,1.49
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,0.13
Batman: Arkham Origins,Warner Bros. Interactive Entertainment,2.29
Batman: Arkham Origins,Warner Bros. Interactive Entertainment,1.88
Batman: Arkham Origins,Warner Bros. Interactive Entertainment,0.31
Batman: Arkham Origins,Warner Bros. Interactive Entertainment,0.31
Batman: Arkham Origins Blackgate,Warner Bros. Interactive Entertainment,0.42
Batman: Arkham Origins Blackgate,Warner Bros. Interactive Entertainment,0.27
Batman: Arkham VR,Warner Bros. Interactive Entertainment,0.3
Batman: Dark Tomorrow,Kemco,0.11
Batman: Dark Tomorrow,Kemco,0.08
Batman: Return to Arkham,Warner Bros. Interactive Entertainment,0.26
Batman: Return to Arkham,Warner Bros. Interactive Entertainment,0.11
Batman: Rise of Sin Tzu,Ubisoft,0.35
Batman: Rise of Sin Tzu,Ubisoft,0.11
Batman: Rise of Sin Tzu,Ubisoft,0.07
Batman: The Brave and the Bold the Videogame,Warner Bros. Interactive Entertainment,0.29
Batman: Vengeance,Ubisoft,0.55
Batman: Vengeance,Ubisoft,0.26
Batman Begins,Electronic Arts,0.56
Batman Begins,Electronic Arts,0.21
Batman Begins,Electronic Arts,0.17
Batman Begins,Electronic Arts,0.15
Battalion Wars,Nintendo,0.4
Battalion Wars 2,Nintendo,0.34
Battle Arena Toshinden,Sony Computer Entertainment,1.27
Battle Assault 3 featuring Gundam Seed,Namco Bandai Games,0.03
Battleborn,Take-Two Interactive,0.26
Battleborn,Take-Two Interactive,0.15
Battleborn,Take-Two Interactive,0.08
Battle Engine Aquila,Atari,0.03
Battle Fantasia,505 Games,0.09
Battlefield: Bad Company,Electronic Arts,1.46
Battlefield: Bad Company,Electronic Arts,1.34
Battlefield: Bad Company 2,Electronic Arts,3.47
Battlefield: Bad Company 2,Electronic Arts,2.95
Battlefield: Bad Company 2,Electronic Arts,0.72
Battlefield: Hardline,Electronic Arts,2.1
Battlefield: Hardline,Electronic Arts,1.21
Battlefield: Hardline,Electronic Arts,0.14
Battlefield 1,Electronic Arts,4.08
Battlefield 1,Electronic Arts,2.25
Battlefield 1,Electronic Arts,0.38
Battlefield 1942,Electronic Arts,0.03
Battlefield 2,Electronic Arts,0.08
Battlefield 2: Modern Combat,Electronic Arts,0.56
Battlefield 2: Modern Combat,Electronic Arts,0.44
Battlefield 2: Modern Combat,Electronic Arts,0.41
Battlefield 2142,Electronic Arts,0.03
Battlefield 3,Electronic Arts,7.32
Battlefield 3,Electronic Arts,7.17
Battlefield 3,Electronic Arts,2.78
Battlefield 4,Electronic Arts,3.59
Battlefield 4,Electronic Arts,3.49
Battlefield 4,Electronic Arts,3.48
Battlefield 4,Electronic Arts,2.02
Battlefield 4,Electronic Arts,1.35
Battlefield Vietnam,Electronic Arts,0.03
BattleForge,Electronic Arts,0.01
Battle Princess of Arcadias,Nippon Ichi Software,0.02
Battles of Prince of Persia,Ubisoft,0.12
Battlestar Galactica,Vivendi Games,0.16
Battlestations: Midway,Eidos Interactive,0.26
Battlestations: Midway,Eidos Interactive,0.01
Battlestations: Pacific,Eidos Interactive,0.32
Battlestations: Pacific,Eidos Interactive,0.03
Battle Worlds: Kronos,Nordic Games,0.01
Battlezone,Rebellion Developments,0.04
Bayonetta,Sega,1.21
Bayonetta,Sega,0.93
Bayonetta 2,Nintendo,0.76
B-Boy,Sony Computer Entertainment,0.05
Beach Spikers: Virtua Beach Volleyball,Sega,0.1
Beat Down: Fists of Vengeance,Capcom,0.17
Beaterator,Take-Two Interactive,0.09
BeatMania,Konami Digital Entertainment,0.07
Beautiful Katamari,Namco Bandai Games,0.32
Bee Movie Game,Activision,0.33
Bee Movie Game,Activision,0.17
Bee Movie Game,Activision,0.1
Bejeweled 3,PopCap Games,0.08
Bejeweled Twist,PopCap Games,0.05
Ben 10: Alien Force,Koch Media,0.8
Ben 10: Protector of Earth,D3Publisher,1.23
Ben 10: Protector of Earth,D3Publisher,0.71
Ben 10 Alien Force: Vilgax Attacks,D3Publisher,0.44
Ben 10 Alien Force: Vilgax Attacks,D3Publisher,0.22
Ben 10 Ultimate Alien: Cosmic Destruction,D3Publisher,0.18
Beowulf: The Game,Ubisoft,0.4
Beowulf: The Game,Ubisoft,0.16
Beowulf: The Game,Ubisoft,0.09
Beyblade Evolution,Rising Star Games,0.04
Beyblade G-Revolution,Atari,0.2
BeyBlade VForce: Super Tournament Battle,Atari,0.21
Beyond: Two Souls,Sony Computer Entertainment,1.63
Big Bang Mini,SouthPeak Games,0.06
Big Beach Sports,THQ,1.66
Big Brain Academy,Nintendo,6.62
Big Brain Academy: Wii Degree,Nintendo,3.79
Big Mutha Truckers,Empire Interactive,0.84
Big Mutha Truckers,Empire Interactive,0.19
Big Mutha Truckers,Empire Interactive,0.08
Big Mutha Truckers 2,Xplosiv,0.2
Big Mutha Truckers 2,Empire Interactive,0.07
Billy Hatcher and the Giant Egg,Sega,0.25
Binary Domain,Sega,0.33
Binary Domain,Sega,0.19
Bionic Commando,Capcom,0.36
Bionic Commando,Capcom,0.28
Bionicle,Electronic Arts,0.43
Bionicle,Electronic Arts,0.21
Bionicle,Electronic Arts,0.06
Bionicle Heroes,Eidos Interactive,0.11
Bionicle Heroes,Eidos Interactive,0.07
Bionicle Heroes,Eidos Interactive,0.06
Bionicle Heroes,Eidos Interactive,0.04
BioShock,Take-Two Interactive,2.83
BioShock,Take-Two Interactive,0.41
BioShock,Take-Two Interactive,1.42
BioShock 2,Take-Two Interactive,2.2
BioShock 2,Take-Two Interactive,1.54
BioShock Infinite,Take-Two Interactive,1.93
BioShock Infinite,Take-Two Interactive,1.69
BioShock Infinite,Take-Two Interactive,0.66
BioShock The Collection,Take-Two Interactive,0.37
BioShock The Collection,Take-Two Interactive,0.16
Birds of Steel,Konami Digital Entertainment,0.23
Birds of Steel,Konami Digital Entertainment,0.15
BIT.TRIP COMPLETE,Rising Star Games,0.09
BIT.TRIP SAGA,Rising Star Games,0.14
Black,Electronic Arts,1.25
Black,Electronic Arts,0.42
Black * Rock Shooter: The Game,Unknown,0.15
Black Sigil: Blade of the Exiled,Graffiti,0.05
Blacksite: Area 51,Midway Games,0.57
Blacksite: Area 51,Midway Games,0.08
Blackthorne,Activision,0.01
Blackwater,505 Games,0.12
Blade Dancer: Lineage of Light,Atari,0.06
Blade II,Activision,0.31
Blade II,Activision,0.13
Blades of Time,Konami Digital Entertainment,0.1
Blades of Time,Konami Digital Entertainment,0.1
Bladestorm: Nightmare,Tecmo Koei,0.17
Bladestorm: Nightmare,Tecmo Koei,0.05
Bladestorm: The Hundred Years' War,Tecmo Koei,0.28
Bladestorm: The Hundred Years' War,Tecmo Koei,0.09
"Blast Works: Build,2008,0
BlazBlue: Calamity Trigger,PQube,0.57
BlazBlue: Calamity Trigger,PQube,0.36
BlazBlue: Calamity Trigger Portable,PQube,0.11
BlazBlue: Chrono Phantasma,Arc System Works,0.3
BlazBlue: Chrono Phantasma Extend,PQube,0.14
BlazBlue: Continuum Shift,PQube,0.41
BlazBlue: Continuum Shift,PQube,0.31
Blazblue: Continuum Shift Extend,PQube,0.11
Blazblue: Continuum Shift Extend,PQube,0.09
