Name,User_Score
Bust-A-Move DS,7
Bust-A-Move Universe,4.8
Buzz Lightyear of Star Command,5.3
C.O.P.: The Recruit,7.5
C.O.R.E.,6.9
Cabela's African Safari,5
Cabela's Alaskan Adventure,5.6
Cabela's Big Game Hunter,7.8
Cabela's Big Game Hunter 2005 Adventures,8.4
Cabela's Big Game Hunter 2005 Adventures,8.3
Cabela's Dangerous Hunts,8.4
Cabela's Dangerous Hunts 2009,1.8
Cabela's Dangerous Hunts 2011,5.4
Cabela's Deer Hunt: 2004 Season,8.4
Cabela's Deer Hunt 2005 Season,7.5
Cabela's North American Adventures,9
Cabela's Trophy Bucks,3
Caesar IV,7.6
Cake Mania,6.1
Calling,6.7
Call of Cthulhu: Dark Corners of the Earth,8.1
Call of Duty: Advanced Warfare,5.7
Call of Duty: Advanced Warfare,5.4
Call of Duty: Advanced Warfare,4.5
Call of Duty: Black Ops,6.3
Call of Duty: Black Ops,6.4
Call of Duty: Black Ops,5.8
Call of Duty: Black Ops,6
Call of Duty: Black Ops II,5.3
Call of Duty: Black Ops II,4.8
Call of Duty: Black Ops II,4.2
Call of Duty: Black Ops II,6.9
Call of Duty: Finest Hour,7.7
Call of Duty: Finest Hour,7.8
Call of Duty: Finest Hour,8.9
Call of Duty: Ghosts,2.6
Call of Duty: Ghosts,2.6
Call of Duty: Ghosts,3.7
Call of Duty: Ghosts,4.3
Call of Duty: Ghosts,3.4
Call of Duty: Infinite Warfare,3.4
Call of Duty: Infinite Warfare,3.1
Call of Duty: Infinite Warfare,3
Call of Duty: Modern Warfare 2,6.3
Call of Duty: Modern Warfare 2,6.3
Call of Duty: Modern Warfare 2,4.2
Call of Duty: Modern Warfare 3,3.4
Call of Duty: Modern Warfare 3,3.2
Call of Duty: Modern Warfare 3,2.5
Call of Duty: Modern Warfare 3,1.8
Call of Duty: Roads to Victory,7.5
Call of Duty: World at War,7.6
Call of Duty: World at War,7.6
Call of Duty: World at War,7.6
Call of Duty: World at War,7.8
Call of Duty: World at War,7.5
Call of Duty 2,8.1
Call of Duty 2,8.4
Call Of Duty 2: Big Red One,8.2
Call Of Duty 2: Big Red One,5.1
Call Of Duty 2: Big Red One,7.9
Call of Duty 3,6.5
Call of Duty 3,6.9
Call of Duty 3,7.4
Call of Duty 4: Modern Warfare,8.4
Call of Duty 4: Modern Warfare,8.4
Call of Duty 4: Modern Warfare,8.5
Call of Duty 4: Modern Warfare,6.9
Call of Duty Black Ops: Declassified,4.8
Call of Juarez,7.8
Call of Juarez,6.9
Call of Juarez: Bound in Blood,7.8
Call of Juarez: Bound in Blood,7.6
Call of Juarez: Bound in Blood,8
Call of Juarez: The Cartel,5.5
Call of Juarez: The Cartel,5.7
Call of Juarez: The Cartel,3.3
Capcom Classics Collection,8.4
Capcom Classics Collection Remixed,7
Capcom Digital Collection,5.3
Capcom Fighting Evolution,4.8
Capcom vs. SNK,9
Capcom vs. SNK 2: Mark of the Millennium 2001,7.9
Capcom vs. SNK 2 EO,8.9
Capcom vs. SNK 2 EO,8.7
Captain America: Super Soldier,7.3
Captain America: Super Soldier,6.4
Captain America: Super Soldier,5
Captain Morgane and the Golden Turtle,6.2
Captain Toad: Treasure Tracker,8.6
Carmageddon: Max Damage,7.1
Carmageddon: Max Damage,5.5
Carnival Games,6
Carnival Games,3.3
Carnival Games: Mini Golf,5.7
Carnival Island,5.2
Cars,8.4
Cars,7
Cars,4.7
Cars,2.1
Cars,7
Cars,6.1
Cars: Mater-National Championship,6.8
Cars: Mater-National Championship,4.8
Cars: Mater-National Championship,7.8
Cars: Race-O-Rama,5.8
Cartoon Network: Punch Time Explosion,5.9
Casper: Spirit Dimensions,3.5
Castle of Shikigami III,7.6
Castle Shikigami 2,7.4
Castlevania: Aria of Sorrow,9.1
Castlevania: Circle of the Moon,8.5
Castlevania: Curse of Darkness,7.5
Castlevania: Curse of Darkness,7
Castlevania: Dawn of Sorrow,8.5
Castlevania: Harmony of Dissonance,8.2
Castlevania: Lament of Innocence,8.4
Castlevania: Lords of Shadow,8
Castlevania: Lords of Shadow,7.8
Castlevania: Lords of Shadow 2,7.8
Castlevania: Lords of Shadow 2,7.8
Castlevania: Lords of Shadow 2,7.7
Castlevania: Order of Ecclesia,8.7
Castlevania: Portrait of Ruin,8.3
Castlevania: Symphony of the Night,9.4
Castlevania: The Dracula X Chronicles,7.8
Castlevania Chronicles,7
Castlevania Double Pack,8.4
Castlevania Judgment,5.9
Catherine,8.1
Catherine,7.9
Catwoman,6.9
Catwoman,6.1
Catwoman,4.6
Cave Story 3D,7.7
Cel Damage,8.4
Cel Damage,6.8
Celebrity Sports Showdown,4.6
Ceville,8.2
Champions: Return to Arms,8.8
Champions of Norrath,8.4
Chaos Legion,8.2
Chaos Wars,6.9
Chaotic: Shadow Warriors,5
Charlie's Angels,3.3
Charlie and the Chocolate Factory,4.1
Charlie and the Chocolate Factory,3.8
Charlie and the Chocolate Factory,3.2
Charlie and the Chocolate Factory,0.5
Chase: Hollywood Stunt Driver,7.4
Chessmaster,7.3
Chessmaster,9
Chessmaster: The Art of Learning,8.4
Chibi-Robo! Park Patrol,7.5
Chicago Enforcer,2.8
Chicken Run,6.2
Chicken Shoot,4.8
Chicken Shoot,3.1
Child of Eden,7.7
Child of Eden,7.8
Child of Light,7.8
Child of Light,8
Children of Mana,6
Chili Con Carnage,8.2
Chromehounds,7
Chrono Cross,8.1
Chrono Trigger,8.9
Circus Maximus: Chariot Wars,5
Cities: Skylines,8.9
Cities: Skylines Snowfall,7.1
Cities in Motion,7.7
Cities XL 2011,5.7
Cities XL 2012,5.6
City Crisis,6.2
City Life: World Edition,8.2
Clash of the Titans,1.7
Clash of the Titans,4.1
Classic NES Series: Castlevania,8.6
Classic NES Series: Donkey Kong,4.8
Classic NES Series: Dr. Mario,7.5
Classic NES Series: Metroid,8.6
Classic NES Series: Super Mario Bros.,8.6
Classic NES Series: The Legend of Zelda,8.6
Classic NES Series: Zelda II: The Adventure of Link,7.5
Class of Heroes,7.1
