Name,Critic_Score
Call of Duty: Modern Warfare 3,88
Call of Duty: Modern Warfare 3,78
Call of Duty: Modern Warfare 3,70
Call of Duty: Roads to Victory,64
Call of Duty: World at War,84
Call of Duty: World at War,85
Call of Duty: World at War,83
Call of Duty: World at War,75
Call of Duty: World at War,83
Call of Duty 2,89
Call of Duty 2,86
Call Of Duty 2: Big Red One,77
Call Of Duty 2: Big Red One,78
Call Of Duty 2: Big Red One,76
Call of Duty 3,82
Call of Duty 3,80
Call of Duty 3,82
Call of Duty 4: Modern Warfare,94
Call of Duty 4: Modern Warfare,94
Call of Duty 4: Modern Warfare,92
Call of Duty 4: Modern Warfare,75
Call of Duty Black Ops: Declassified,33
Call of Juarez,72
Call of Juarez,71
Call of Juarez: Bound in Blood,78
Call of Juarez: Bound in Blood,77
Call of Juarez: Bound in Blood,78
Call of Juarez: The Cartel,45
Call of Juarez: The Cartel,47
Call of Juarez: The Cartel,51
Capcom Classics Collection,78
Capcom Classics Collection Remixed,72
Capcom Digital Collection,65
Capcom Fighting Evolution,57
Capcom vs. SNK,80
Capcom vs. SNK 2: Mark of the Millennium 2001,81
Capcom vs. SNK 2 EO,68
Capcom vs. SNK 2 EO,80
Captain America: Super Soldier,61
Captain America: Super Soldier,60
Captain America: Super Soldier,51
Captain Morgane and the Golden Turtle,54
Captain Toad: Treasure Tracker,81
Carmageddon: Max Damage,52
Carmageddon: Max Damage,51
Carnival Games,56
Carnival Games,48
Carnival Games: Mini Golf,38
Carnival Island,66
Cars,71
Cars,70
Cars,50
Cars,54
Cars,71
Cars,65
Cars: Mater-National Championship,69
Cars: Mater-National Championship,63
Cars: Mater-National Championship,58
Cars: Race-O-Rama,54
Cartoon Network: Punch Time Explosion,58
Casper: Spirit Dimensions,58
Castle of Shikigami III,67
Castle Shikigami 2,67
Castlevania: Aria of Sorrow,91
Castlevania: Circle of the Moon,91
Castlevania: Curse of Darkness,70
Castlevania: Curse of Darkness,74
Castlevania: Dawn of Sorrow,89
Castlevania: Harmony of Dissonance,87
Castlevania: Lament of Innocence,79
Castlevania: Lords of Shadow,85
Castlevania: Lords of Shadow,83
Castlevania: Lords of Shadow 2,63
Castlevania: Lords of Shadow 2,70
Castlevania: Lords of Shadow 2,58
Castlevania: Order of Ecclesia,85
Castlevania: Portrait of Ruin,85
Castlevania: Symphony of the Night,93
Castlevania: The Dracula X Chronicles,80
Castlevania Chronicles,69
Castlevania Double Pack,86
Castlevania Judgment,49
Catherine,79
Catherine,82
Catwoman,46
Catwoman,47
Catwoman,45
Cave Story 3D,82
Cel Damage,65
Cel Damage,67
Celebrity Sports Showdown,50
Ceville,73
Champions: Return to Arms,77
Champions of Norrath,85
Chaos Legion,65
Chaos Wars,64
Chaotic: Shadow Warriors,60
Charlie's Angels,23
Charlie and the Chocolate Factory,35
Charlie and the Chocolate Factory,36
Charlie and the Chocolate Factory,39
Charlie and the Chocolate Factory,39
Chase: Hollywood Stunt Driver,60
Chessmaster,79
Chessmaster,79
Chessmaster: The Art of Learning,64
Chibi-Robo! Park Patrol,78
Chicago Enforcer,33
